Zhulodok, Void Gorger;{5}{C};Legendary Creature — Eldrazi;Colorless spells you cast from your hand with mana value 7 or greater have "Cascade, cascade." (When you cast one, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order. Then do it again.);;commanderMasters;eldraziUnbound
Alela, Cunning Conqueror;{2}{U}{B};Legendary Creature — Faerie Warlock;Flying Whenever you cast your first spell during each opponent's turn, create a 1/1 black Faerie Rogue creature token with flying. Whenever one or more Faeries you control deal combat damage to a player, goad target creature that player controls.;BU;wildsOfEldraine;faeDomination
Grenzo, Havoc Raiser;{R}{R};Legendary Creature — Goblin Rogue;Whenever a creature you control deals combat damage to a player, choose one — • Goad target creature that player controls. • Exile the top card of that player's library. Until end of turn, you may cast that card and you may spend mana as though it were mana of any color to cast that spell.;R;modernHorizons3,thunder;creativeEnergy,mostWanted
Valkyrie Harbinger;{4}{W}{W};Creature — Angel Cleric;Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.) At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance.;W;secretLair;angels
The Grim Captain's Locker;{3}{B};Legendary Artifact;{T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Until end of turn, each creature card in your graveyard gains "Escape—{3}{B}, Exile four other cards from your graveyard." (You may cast a card with escape from your graveyard for its escape cost.);B;ixilan;ahoyMatey
Regal Sliver;{3}{W};Creature — Sliver;Sliver creatures you control have "When this creature enters, Slivers you control get +1/+1 until end of turn if you're the monarch. Otherwise, you become the monarch.";W;commanderMasters;sliverSwarm
Paladin Danse, Steel Maverick;{2}{W};Legendary Artifact Creature — Synth Knight;Vigilance, lifelink Exile Paladin Danse, Steel Maverick: Each creature you control that's an artifact or Human gains indestructible until end of turn.;W;fallout;science
Midnight Crusader Shuttle;{4};Artifact — Vehicle;Midnight Entity — Whenever Midnight Crusader Shuttle attacks, defending player faces a villainous choice — That player sacrifices a creature of their choice, or you gain control of a creature of your choice that player controls until end of turn. If you gain control of a creature this way, tap it, and it's attacking that player. Crew 2;;who;masterOfEvil
Galvanic Iteration;{U}{R};Instant;When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy. Flashback {1}{U}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.);RU;thunder;quickDraw
Psychic Paper;{2};Artifact — Equipment;As Psychic Paper becomes attached to a creature, choose a creature card name and a creature type. Equipped creature has ward {1}, it can't be blocked, and its name and creature type are the last chosen name and creature type. Equip {2};;who;paradoxPower,timeyWimey
Rukarumel, Biologist;{W}{U}{B}{R}{G};Legendary Creature — Human Wizard;As Rukarumel, Biologist enters, choose a creature type. Slivers you control and nontoken creatures you control are the chosen type in addition to their other creature types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield. {3}, {T}: Create a 1/1 colorless Sliver creature token.;BGRUW;commanderMasters;sliverSwarm
Consider;{U};Instant;Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) Draw a card.;U;wildsOfEldraine,lordOfTheRings,karlovMannor;faeDomination,hostsOfMordor,revenantRecon
Volatile Fault;;Land — Cave;{T}: Add {C}. {1}, {T}, Sacrifice Volatile Fault: Destroy target nonbasic land an opponent controls. That player may search their library for a basic land card, put it onto the battlefield, then shuffle. You create a Treasure token.;;modernHorizons3;trickyTerrain
Thijarian Witness;{1}{G};Creature — Alien Cleric;Flash Bear Witness — Whenever another creature dies, if it was attacking or blocking alone, exile it and investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this artifact: Draw a card.");G;who;paradoxPower
Obscuring Aether;{G};Enchantment;Face-down creature spells you cast cost {1} less to cast. {1}{G}: Turn Obscuring Aether face down. (It becomes a 2/2 creature.);G;karlovMannor;deadlyDisguise
Duergar Hedge-Mage;{2}{R/W};Creature — Dwarf Shaman;When Duergar Hedge-Mage enters, if you control two or more Mountains, you may destroy target artifact. When Duergar Hedge-Mage enters, if you control two or more Plains, you may destroy target enchantment.;RW;marchOfTheMachine;divineConvocation
Battle at the Helvault;{4}{W}{W};Enchantment — Saga;(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — For each player, exile up to one target non-Saga, nonland permanent that player controls until Battle at the Helvault leaves the battlefield. III — Create Avacyn, a legendary 8/8 white Angel creature token with flying, vigilance, and indestructible.;W;commanderMasters;enduringEnchantments
Run Away Together;{1}{U};Instant;Choose two target creatures controlled by different players. Return those creatures to their owners' hands.;U;wildsOfEldraine;faeDomination
Cybermen Squadron;{7};Artifact Creature — Cyberman;Nonlegendary artifact creatures you control have myriad. (Whenever a creature with myriad attacks, for each opponent other than defending player, you may create a token copy that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.);;who;masterOfEvil
Ugin, the Ineffable;{6};Legendary Planeswalker — Ugin;Colorless spells you cast cost {2} less to cast. +1: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand. −3: Destroy target permanent that's one or more colors.;;commanderMasters,modernHorizons3;eldraziUnbound,eldraziIncursion
Idol of Oblivion;{2};Artifact;{T}: Draw a card. Activate only if you created a token this turn. {8}, {T}, Sacrifice Idol of Oblivion: Create a 10/10 colorless Eldrazi creature token.;;bloomburrow,modernHorizons3,allWillBeOne,thunder,karlovMannor;squirreledAway,eldraziIncursion,rebellionRising,mostWanted,deepClueSea
Angrath's Marauders;{5}{R}{R};Creature — Human Pirate;If a source you control would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.;R;ixilan,thunder;ahoyMatey,mostWanted
Sonic Screwdriver;{3};Artifact;{T}: Add one mana of any color. {1}, {T}: Untap another target artifact. {2}, {T}: Scry 1. (Look at the top card of your library. You may put that card on the bottom.) {3}, {T}: Target creature can't be blocked this turn.;;who;blastFromThePast,paradoxPower,timeyWimey
Sergeant John Benton;{1}{G}{W};Legendary Creature — Human Soldier;Trample, haste Share Intelligence — Whenever Sergeant John Benton deals combat damage to a player, you and that player each draw that many cards.;GW;who;blastFromThePast
Descendants' Fury;{3}{R};Enchantment;Whenever one or more creatures you control deal combat damage to a player, you may sacrifice one of them. If you do, reveal cards from the top of your library until you reveal a creature card that shares a creature type with the sacrificed creature. Put that card onto the battlefield and the rest on the bottom of your library in a random order.;R;commanderMasters;sliverSwarm
Ruinous Intrusion;{3}{G};Instant;Exile target artifact or enchantment. Put X +1/+1 counters on target creature you control, where X is the mana value of the permanent exiled this way.;G;ixilan;exploreTheDeep
Trouble in Pairs;{2}{W}{W};Enchantment;If an opponent would begin an extra turn, that player skips that turn instead. Whenever an opponent attacks you with two or more creatures, draws their second card each turn, or casts their second spell each turn, you draw a card.;W;karlovMannor;blameGame
Riot Control;{2}{W};Instant;You gain 1 life for each creature your opponents control. Prevent all damage that would be dealt to you this turn.;W;bloomburrow;peaceOffering
Isolated Chapel;;Land;Isolated Chapel enters tapped unless you control a Plains or a Swamp. {T}: Add {W} or {B}.;BW;ixilan,lordOfTheRings,fallout,thunder;bloodRites,foodAndFellowship,hailCaesar,mostWanted
Dromoka's Command;{G}{W};Instant;Choose two — • Prevent all damage target instant or sorcery spell would deal this turn. • Target player sacrifices an enchantment of their choice. • Put a +1/+1 counter on target creature. • Target creature you control fights target creature you don't control.;GW;marchOfTheMachine;callForBackup
Map the Frontier;{3}{G};Sorcery;Search your library for up to two basic land cards and/or Desert cards, put them onto the battlefield tapped, then shuffle.;G;thunder;desertBloom
Aragorn, King of Gondor;{1}{U}{R}{W};Legendary Creature — Human Noble;Vigilance, lifelink When Aragorn, King of Gondor enters, you become the monarch. Whenever Aragorn attacks, up to one target creature can't block this turn. If you're the monarch, creatures can't block this turn.;RUW;lordOfTheRings;ridersOfRohan
White Glove Gourmand;{2}{W}{B};Creature — Human Noble;When White Glove Gourmand enters, create two 1/1 white Human Soldier creature tokens. At the beginning of your end step, if another Human died under your control this turn, create a Food token.;BW;fallout;hailCaesar
North Pole Research Base;;Plane — Earth;At the beginning of your upkeep, target opponent draws a card and creates a Treasure token. Whenever chaos ensues, create a 2/2 white Alien creature token. When you do, tap target nontoken creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.);;who;paradoxPower
Sally Sparrow;{2}{W}{U};Legendary Creature — Human Detective;You may cast creature spells as though they had flash. Whenever one or more other creatures you control leave the battlefield, investigate. This ability triggers only once each turn. (Create a Clue token. It's an artifact with "{2}, Sacrifice this artifact: Draw a card.");UW;who;timeyWimey
Gallifrey Council Chamber;;Legendary Land;When Gallifrey Council Chamber enters, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.) {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Time Lord or Alien spell or activate an ability of a Time Lord or Alien.;;who;blastFromThePast,paradoxPower,masterOfEvil
Elenda's Hierophant;{2}{W};Creature — Vampire Cleric;Flying Whenever you gain life, put a +1/+1 counter on Elenda's Hierophant. When Elenda's Hierophant dies, create X 1/1 white Vampire creature tokens with lifelink, where X is its power.;W;ixilan;bloodRites
Hibernation Sliver;{U}{B};Creature — Sliver;All Slivers have "Pay 2 life: Return this permanent to its owner's hand.";BU;commanderMasters;sliverSwarm
Ancient Cellarspawn;{1}{B}{B};Enchantment Creature — Horror;Each spell you cast that's a Demon, Horror, or Nightmare costs {1} less to cast. Whenever you cast a spell, if the amount of mana spent to cast it was less than its mana value, target opponent loses life equal to the difference.;B;duskmoore;miracleWorker
The Five Doctors;{5}{G};Sorcery;Kicker {5} (You may pay an additional {5} as you cast this spell.) Search your library and/or graveyard for up to five Doctor cards, reveal them, and put them into your hand. If you search your library this way, shuffle. If this spell was kicked, put those cards onto the battlefield instead of putting them into your hand.;G;who;blastFromThePast
Conclave Sledge-Captain;{5}{G};Creature — Elephant Soldier;Backup 1, backup 1, backup 1 (When this creature enters, put a +1/+1 counter on target creature. If that's another creature, it gains the following abilities until end of turn. Each backup ability triggers separately.) Trample Whenever this creature deals combat damage to a player, put that many +1/+1 counters on it.;G;marchOfTheMachine;callForBackup
Revive the Shire;{1}{G};Sorcery;Return target permanent card from your graveyard to your hand. Create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this artifact: You gain 3 life.");G;lordOfTheRings;foodAndFellowship
Elite Scaleguard;{4}{W};Creature — Human Soldier;When Elite Scaleguard enters, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.) Whenever a creature you control with a +1/+1 counter on it attacks, tap target creature defending player controls.;W;marchOfTheMachine;callForBackup
Seedborn Muse;{3}{G}{G};Creature — Spirit;Untap all permanents you control during each other player's untap step.;G;karlovMannor;deadlyDisguise
Amphin Mutineer;{3}{U};Creature — Salamander Pirate;When Amphin Mutineer enters, exile up to one target non-Salamander creature. That creature's controller creates a 4/3 blue Salamander Warrior creature token. Encore {4}{U}{U} ({4}{U}{U}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.);U;ixilan,karlovMannor;ahoyMatey,revenantRecon
Run for Your Life;{U}{R};Instant;One or two target creatures each gain haste until end of turn. They can't be blocked this turn except by creatures with haste. Escape—{2}{U}{R}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.);RU;who;timeyWimey
Soul of New Phyrexia;{6};Artifact Creature — Phyrexian Avatar;Trample {5}: Permanents you control gain indestructible until end of turn. {5}, Exile Soul of New Phyrexia from your graveyard: Permanents you control gain indestructible until end of turn.;;marchOfTheMachine,commanderMasters;growingThreat,eldraziUnbound
Frontline Medic;{2}{W};Creature — Human Cleric;Battalion — Whenever Frontline Medic and at least two other creatures attack, creatures you control gain indestructible until end of turn. Sacrifice Frontline Medic: Counter target spell with {X} in its mana cost unless its controller pays {3}.;W;lordOfTheRings;ridersOfRohan
Titan's Presence;{3};Instant;As an additional cost to cast this spell, reveal a colorless creature card from your hand. Exile target creature if its power is less than or equal to the revealed card's power.;;commanderMasters;eldraziUnbound
Eldrazi Confluence;{2}{C}{C};Instant;Choose three. You may choose the same mode more than once. • Target creature gets +3/-3 until end of turn. • Exile target nonland permanent, then return it to the battlefield tapped under its owner's control. • Create a 1/1 colorless Eldrazi Scion creature token with "Sacrifice this creature: Add {C}.";;modernHorizons3;eldraziIncursion
Living Death;{3}{B}{B};Sorcery;Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield.;B;lordOfTheRings;hostsOfMordor
Gemhide Sliver;{1}{G};Creature — Sliver;All Slivers have "{T}: Add one mana of any color.";G;commanderMasters;sliverSwarm
Lignify;{1}{G};Kindred Enchantment — Treefolk Aura;Enchant creature Enchanted creature is a Treefolk with base power and toughness 0/4 and loses all abilities.;G;lordOfTheRings;elvenCounsel
Oversimplify;{3}{G}{U};Sorcery;Exile all creatures. Each player creates a 0/0 green and blue Fractal creature token and puts a number of +1/+1 counters on it equal to the total power of creatures they controlled that were exiled this way.;GU;duskmoore;jumpScare
Wall of Denial;{1}{W}{U};Creature — Wall;Defender, flying Shroud (This creature can't be the target of spells or abilities.);UW;commanderMasters;planeswalkerParty
Recon Craft Theta;{4};Artifact — Vehicle;Flying When Recon Craft Theta enters, create a 0/0 blue Alien creature token. Put a +1/+1 counter on it. Whenever Recon Craft Theta attacks, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.) Crew 2;;fallout;mutantMenace
Eldrazi Temple;;Land;{T}: Add {C}. {T}: Add {C}{C}. Spend this mana only to cast colorless Eldrazi spells or activate abilities of colorless Eldrazi.;;commanderMasters,modernHorizons3;eldraziUnbound,eldraziIncursion
Misleading Signpost;{2}{U};Artifact;Flash When Misleading Signpost enters during the declare attackers step, you may reselect which player or permanent target attacking creature is attacking. (It can't attack its controller or their permanents.) {T}: Add {U}.;U;wildsOfEldraine;faeDomination
Thieving Skydiver;{1}{U};Creature — Merfolk Rogue;Kicker {X}. X can't be 0. (You may pay an additional {X} as you cast this spell.) Flying When Thieving Skydiver enters, if it was kicked, gain control of target artifact with mana value X or less. If that artifact is an Equipment, attach it to Thieving Skydiver.;U;ixilan,thunder;exploreTheDeep,grandLarceny
Saruman, the White Hand;{1}{U}{B}{R};Legendary Creature — Avatar Wizard;Whenever you cast a noncreature spell, amass Orcs X, where X is that spell's mana value. (Put X +1/+1 counters on an Army you control. It's also an Orc. If you don't control an Army, create a 0/0 black Orc Army creature token first.) Goblins and Orcs you control have ward {2}.;BRU;lordOfTheRings;hostsOfMordor
Shamanic Revelation;{3}{G}{G};Sorcery;Draw a card for each creature you control. Ferocious — You gain 4 life for each creature you control with power 4 or greater.;G;bloomburrow;squirreledAway
Ulamog's Crusher;{8};Creature — Eldrazi;Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.) Ulamog's Crusher attacks each combat if able.;;modernHorizons3;eldraziIncursion
Hamza, Guardian of Arashin;{4}{G}{W};Legendary Creature — Elephant Warrior;This spell costs {1} less to cast for each creature you control with a +1/+1 counter on it. Creature spells you cast cost {1} less to cast for each creature you control with a +1/+1 counter on it.;GW;marchOfTheMachine;callForBackup
Gavony Township;;Land;{T}: Add {C}. {2}{G}{W}, {T}: Put a +1/+1 counter on each creature you control.;GW;marchOfTheMachine;callForBackup
Rotating Fireplace;{3};Artifact;Rotating Fireplace enters tapped with a time counter on it. {T}: Add an amount of {C} equal to the number of time counters on Rotating Fireplace. {4}, {T}: Time travel. Activate only as a sorcery. (For each suspended card you own and each permanent you control with a time counter on it, you may add or remove a time counter.);;who;timeyWimey
Evolution Sage;{2}{G};Creature — Elf Druid;Landfall — Whenever a land you control enters, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.);G;ixilan,allWillBeOne;exploreTheDeep,corruptingInfluence
Otepec Huntmaster;{1}{R};Creature — Human Shaman;Dinosaur spells you cast cost {1} less to cast. {T}: Target Dinosaur gains haste until end of turn.;R;ixilan;velociRampTor
Gríma, Saruman's Footman;{2}{U}{B};Legendary Creature — Human Advisor;Gríma, Saruman's Footman can't be blocked. Whenever Gríma deals combat damage to a player, that player exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then that player puts the exiled cards that weren't cast this way on the bottom of their library in a random order.;BU;lordOfTheRings;hostsOfMordor
Roil Cartographer;{1}{U};Creature — Merfolk Rogue;Landfall — Whenever a land you control enters, you get {E} (an energy counter). {T}, Pay six {E}: Draw three cards.;U;modernHorizons3;creativeEnergy
Spine of Ish Sah;{7};Artifact;When Spine of Ish Sah enters, destroy target permanent. When Spine of Ish Sah is put into a graveyard from the battlefield, return Spine of Ish Sah to its owner's hand.;;marchOfTheMachine,bloomburrow;tinkerTime,animatedArmy
Forth Eorlingas!;{X}{R}{W};Sorcery;Create X 2/2 red Human Knight creature tokens with trample and haste. Whenever one or more creatures you control deal combat damage to one or more players this turn, you become the monarch.;RW;lordOfTheRings;ridersOfRohan
Reality Shift;{1}{U};Instant;Exile target creature. Its controller manifests the top card of their library. (That player puts the top card of their library onto the battlefield face down as a 2/2 creature. If it's a creature card, it can be turned face up any time for its mana cost.);U;marchOfTheMachine,wildsOfEldraine,duskmoore;tinkerTime,faeDomination,jumpScare
Model of Unity;{3};Artifact;Whenever players finish voting, you and each opponent who voted for a choice you voted for may scry 2. {T}: Add one mana of any color.;;lordOfTheRings;elvenCounsel
Bartolomé del Presidio;{W}{B};Legendary Creature — Vampire Knight;Sacrifice another creature or artifact: Put a +1/+1 counter on Bartolomé del Presidio.;BW;ixilan;bloodRites
Rampant Frogantua;{2}{G};Creature — Frog;Trample Rampant Frogantua gets +10/+10 for each player who has lost the game. Whenever Rampant Frogantua deals combat damage to a player, you may mill that many cards. Put any number of land cards from among them onto the battlefield tapped.;G;modernHorizons3;trickyTerrain
The Curse of Fenric;{2}{G}{W};Enchantment — Saga;(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — For each player, destroy up to one target creature that player controls. For each creature destroyed this way, its controller creates a 3/3 green Mutant creature token with deathtouch. II — Target nontoken creature becomes a 6/6 legendary Horror creature named Fenric and loses all abilities. III — Target Mutant fights another target creature named Fenric.;GW;who;blastFromThePast
Ravenous Chupacabra;{2}{B}{B};Creature — Beast Horror;When Ravenous Chupacabra enters, destroy target creature an opponent controls.;B;karlovMannor;revenantRecon
Clever Concealment;{2}{W}{W};Instant;Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Any number of target nonland permanents you control phase out. (Treat them and anything attached to them as though they don't exist until your next turn.);W;allWillBeOne;rebellionRising
Crawling Sensation;{2}{G};Enchantment;At the beginning of your upkeep, you may mill two cards. (You may put the top two cards of your library into your graveyard.) Whenever one or more land cards are put into your graveyard from anywhere for the first time each turn, create a 1/1 green Insect creature token.;G;duskmoore,thunder;deathtoll,desertBloom
Scion of Calamity;{3}{G}{G};Creature — Dinosaur;Myriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token copy that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.) Whenever Scion of Calamity deals combat damage to a player, destroy target artifact or enchantment that player controls.;G;ixilan;velociRampTor
Mentor of the Meek;{2}{W};Creature — Human Soldier;Whenever another creature you control with power 2 or less enters, you may pay {1}. If you do, draw a card.;W;marchOfTheMachine,lordOfTheRings,allWillBeOne;divineConvocation,foodAndFellowship,rebellionRising
The Sound of Drums;{2}{R};Enchantment — Aura;Enchant creature Enchanted creature is goaded. If enchanted creature would deal combat damage to a permanent or player, it deals double that damage instead. {2}{R}: Return The Sound of Drums from your graveyard to your hand.;R;who;masterOfEvil
Reclamation Sage;{2}{G};Creature — Elf Shaman;When Reclamation Sage enters, you may destroy target artifact or enchantment.;G;lordOfTheRings;elvenCounsel
Timothar, Baron of Bats;{4}{B}{B};Legendary Creature — Vampire Noble;Ward—Discard a card. Whenever another nontoken Vampire you control dies, you may pay {1} and exile it. If you do, create a 1/1 black Bat creature token with flying. It gains "When this creature deals combat damage to a player, sacrifice it and return the exiled card to the battlefield tapped.";B;ixilan;bloodRites
Bygone Marvels;{G}{G};Sorcery;Descend 8 — When you cast this spell, if there are eight or more permanent cards in your graveyard, copy this spell twice. You may choose new targets for the copies. Return target permanent card from your graveyard to your hand. Exile Bygone Marvels.;G;ixilan;exploreTheDeep
Sidar Jabari of Zhalfir;{1}{W}{U}{B};Legendary Creature — Human Knight;Eminence — Whenever you attack with one or more Knights, if Sidar Jabari of Zhalfir is in the command zone or on the battlefield, draw a card, then discard a card. Flying, first strike Whenever Sidar Jabari deals combat damage to a player, return target Knight creature card from your graveyard to the battlefield.;BUW;marchOfTheMachine;cavalryCharge
The World Tree;;Land;The World Tree enters tapped. {T}: Add {G}. As long as you control six or more lands, lands you control have "{T}: Add one mana of any color." {W}{W}{U}{U}{B}{B}{R}{R}{G}{G}, {T}, Sacrifice The World Tree: Search your library for any number of God cards, put them onto the battlefield, then shuffle.;BGRUW;secretLair;cuteToBrute
Moldgraf Millipede;{4}{G};Creature — Insect Horror;When Moldgraf Millipede enters, mill three cards, then put a +1/+1 counter on Moldgraf Millipede for each creature card in your graveyard. (To mill three cards, put the top three cards of your library into your graveyard.);G;duskmoore;deathtoll
Grab the Prize;{1}{R};Sorcery;As an additional cost to cast this spell, discard a card. Draw two cards. If the discarded card wasn't a land card, Grab the Prize deals 2 damage to each opponent.;R;duskmoore;endlessPunishment
Syr Armont, the Redeemer;{3}{G}{W};Legendary Creature — Human Knight;When Syr Armont, the Redeemer enters, create a Monster Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.) Enchanted creatures you control get +1/+1.;GW;wildsOfEldraine;virtueOfValor
The Doctor's Childhood Barn;;Plane — Gallifrey;Creatures enter tapped. Whenever chaos ensues, for each opponent, choose up to one target nonland permanent that opponent controls. Untap those permanents. They phase out. They can't phase in for as long as The Doctor's Childhood Barn remains face up. When a player planeswalks, those permanents phase in.;;who;paradoxPower
Krosan Verge;;Land;Krosan Verge enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice Krosan Verge: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle.;;marchOfTheMachine,commanderMasters,wildsOfEldraine,secretLair,allWillBeOne,thunder,karlovMannor;callForBackup,enduringEnchantments,virtueOfValor,rainingCatsAndDogs,corruptingInfluence,desertBloom,deepClueSea,deadlyDisguise
Maelstrom Pulse;{1}{B}{G};Sorcery;Destroy target nonland permanent and all other permanents with the same name as that permanent.;BG;bloomburrow,modernHorizons3;squirreledAway,graveyardOverdrive
